fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,837269000,219567000,26737119000,627145827,0.35,0.008,0.709,0.626,0.048
2022-06-30,810419000,223207000,26326612000,617564272,0.361,0.008,0.749,0.793,0.104
2022-03-31,807343000,199369000,25502179000,601566581,0.331,0.008,0.826,1.078,0.29
2021-12-31,681502000,4041000,25052574000,591261991,0.007,0.0,0.63,-0.966,-0.979
2021-09-30,489891000,134996000,13335093000,404206076,0.334,0.01,0.211,4.894,4.112
2021-06-30,463298000,124479000,11839532000,380174042,0.327,0.011,0.117,0.154,0.048
2021-03-31,442254000,95940000,11534872000,373509822,0.257,0.008,0.067,-0.347,-0.399
2020-12-31,418076000,117931000,10985483000,361303445,0.326,0.011,0.052,-0.088,-0.158
2020-09-30,404572000,22904000,10470527000,350595869,0.065,0.002,0.081,-0.773,-0.789
2020-06-30,414636000,107824000,10344449000,345023421,0.313,0.01,0.135,0.133,0.045
2020-03-31,414341000,146827000,10388015000,343402030,0.428,0.014,,,
2019-12-31,397529000,129297000,9774456000,333619106,0.388,0.013,,,
2019-09-30,374247000,101049000,9293419000,325910281,0.31,0.011,,,
2019-06-30,365450000,95194000,8837502000,318218713,0.299,0.011,,,
2021-12-31,2080463000,359456000,25052574000,591261991,0.608,0.014,0.263,-0.091,-0.445
2020-12-31,1647087000,395486000,10985483000,361303445,1.095,0.036,0.107,-0.094,-0.163
2019-12-31,1488163000,436482000,9774456000,333619106,1.308,0.045,0.121,0.2,0.093
2018-12-31,1327838000,363614000,8088742000,303742090,1.197,0.045,,,
