fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,871800000,109800000,1747800000,154197072,0.712,0.063,-0.046,-0.166,-0.139
2022-06-30,963800000,126200000,1792500000,155692240,0.811,0.07,0.122,0.068,0.099
2022-03-31,976200000,119800000,1808900000,157018566,0.763,0.066,0.271,0.226,0.261
2021-12-31,994100000,139600000,1832200000,158695692,0.88,0.076,0.191,0.163,0.185
2021-09-30,913600000,131600000,1896500000,159188790,0.827,0.069,0.205,0.249,0.266
2021-06-30,858900000,118200000,1816300000,160241814,0.738,0.065,0.299,0.743,0.754
2021-03-31,768000000,97700000,1849000000,161526733,0.605,0.053,0.21,0.89,0.894
2020-12-31,834500000,120000000,1848300000,161632265,0.742,0.065,0.111,0.314,0.325
2020-09-30,758400000,105400000,1747100000,161411049,0.653,0.06,0.046,0.207,0.229
2020-06-30,661400000,67800000,1658100000,161208194,0.421,0.041,-0.132,-0.336,-0.313
2020-03-31,634700000,51700000,1616300000,161871788,0.319,0.032,,,
2019-12-31,750900000,91300000,1666800000,162912432,0.56,0.055,,,
2019-09-30,725100000,87300000,1656200000,164298458,0.531,0.053,,,
2019-06-30,762000000,102100000,1725100000,166825601,0.612,0.059,,,
2021-12-31,3534600000,487100000,1832200000,158695692,3.069,0.266,0.224,0.412,0.438
2020-12-31,2888000000,344900000,1848300000,161632265,2.134,0.187,-0.031,-0.068,-0.06
2019-12-31,2981700000,370000000,1666800000,162912432,2.271,0.222,-0.062,-0.167,-0.135
2018-12-31,3179500000,444200000,1717000000,169265139,2.624,0.259,,,
