fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,1824000000,429000000,15173000000,934000000,0.459,0.028,0.021,-0.341,-0.326
2022-06-30,1744000000,583000000,16507000000,934000000,0.624,0.035,-0.098,-0.262,-0.243
2022-03-31,1664000000,548000000,16982000000,938000000,0.584,0.032,-0.057,-0.146,-0.125
2021-12-31,1539000000,438000000,18326000000,950000000,0.461,0.024,-0.117,-0.289,-0.282
2021-09-30,1786000000,651000000,18605000000,955000000,0.682,0.035,0.161,0.228,0.235
2021-06-30,1933000000,790000000,18252000000,958000000,0.825,0.043,1.868,4.692,4.699
2021-03-31,1764000000,642000000,17862000000,961000000,0.668,0.036,0.675,2.963,2.946
2020-12-31,1742000000,616000000,18111000000,959000000,0.642,0.034,0.247,0.584,0.593
2020-09-30,1538000000,530000000,17904000000,960000000,0.552,0.03,0.099,0.296,0.334
2020-06-30,674000000,-214000000,17602000000,960000000,-0.223,-0.012,-0.504,-1.549,-1.577
2020-03-31,1053000000,162000000,17332000000,957000000,0.169,0.009,,,
2019-12-31,1397000000,389000000,16295000000,965000000,0.403,0.024,,,
2019-09-30,1399000000,409000000,16581000000,988000000,0.414,0.025,,,
2019-06-30,1359000000,390000000,16608000000,1010000000,0.386,0.023,,,
2021-12-31,7022000000,2521000000,18326000000,950000000,2.654,0.138,0.402,1.304,1.326
2020-12-31,5007000000,1094000000,18111000000,959000000,1.141,0.06,-0.095,-0.308,-0.304
2019-12-31,5533000000,1582000000,16295000000,965000000,1.639,0.097,-0.011,-0.101,-0.035
2018-12-31,5595000000,1759000000,15090000000,1035000000,1.7,0.117,,,
