fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,2478000000,40000000,7872000000,581300000,0.069,0.005,-0.01,-0.796,-0.792
2022-06-30,2674000000,110000000,8222000000,585300000,0.188,0.013,0.073,8.857,8.93
2022-03-31,2492000000,82000000,8425000000,588800000,0.139,0.01,0.067,0.038,0.042
2021-12-31,2717000000,235000000,8383000000,592100000,0.397,0.028,0.126,0.017,0.015
2021-09-30,2502000000,196000000,8210000000,591700000,0.331,0.024,0.182,4.765,4.743
2021-06-30,2492000000,-14000000,8211000000,590700000,-0.024,-0.002,0.296,0.965,0.965
2021-03-31,2335000000,79000000,8188000000,590800000,0.134,0.01,0.03,1.108,1.108
2020-12-31,2414000000,231000000,8131000000,590700000,0.391,0.028,-0.026,1.718,1.706
2020-09-30,2117000000,34000000,7639000000,589500000,0.058,0.004,-0.095,1.15,1.149
2020-06-30,1923000000,-397000000,7582000000,588500000,-0.675,-0.052,-0.22,-6.784,-6.738
2020-03-31,2266000000,-730000000,7832000000,588300000,-1.241,-0.093,,,
2019-12-31,2479000000,85000000,8958000000,588200000,0.145,0.009,,,
2019-09-30,2340000000,-227000000,8714000000,586700000,-0.387,-0.026,,,
2019-06-30,2466000000,-51000000,9144000000,585000000,-0.087,-0.006,,,
2022-06-30,10385000000,623000000,8222000000,585300000,1.064,0.076,0.11,0.888,0.905
2021-06-30,9358000000,330000000,8211000000,590700000,0.559,0.04,0.039,1.26,1.259
2020-06-30,9008000000,-1269000000,7582000000,588500000,-2.156,-0.167,-0.106,-9.187,-9.138
2019-06-30,10074000000,155000000,9144000000,585000000,0.265,0.017,,,
