stock,slope,avgpc,copied,annualeps,annualroe,quarterlyeps,quarterlyrevenue,numfailed
PCAR,0.066,0.408,FALSE,0,1,0,0,1
PKG,0.035,0.256,FALSE,0,0,1,1,2
PH,0.115,-0.13,FALSE,1,1,1,1,4
PNR,0.064,0.045,FALSE,0,0,1,1,2
PFE,0.053,0.445,FALSE,0,0,1,1,2
PM,0.102,-0.023,FALSE,1,1,1,1,4
PSX,0.099,3.975,FALSE,0,1,0,0,1
PNW,0.052,-0.083,FALSE,1,1,1,1,4
PNC,0.017,0.101,FALSE,1,1,1,1,4
PPG,0.054,-0.129,FALSE,0,0,1,1,2
PFG,0.09,2.044,FALSE,0,1,0,0,1
PG,0.108,0.035,FALSE,1,0,1,1,3
PLD,0.016,0.53,FALSE,0,1,0,0,1
PTC,0.045,-0.049,FALSE,1,1,1,1,4
PHM,0.169,0.333,FALSE,0,0,0,1,1
QRVO,0.03,-0.234,FALSE,0,0,1,1,2
DGX,0.135,-0.233,FALSE,0,0,1,1,2
RL,0.203,0.216,FALSE,0,0,1,1,2
RJF,0.008,-0.078,FALSE,1,1,1,1,4
RTX,0.105,0.145,FALSE,0,1,1,1,3
O,0.008,0.454,FALSE,1,1,1,0,3
REG,0.04,0.228,FALSE,0,1,1,1,3
REGN,0.081,-0.249,FALSE,0,0,1,1,2
RF,0.033,-0.138,FALSE,0,1,1,1,3
ROK,0.095,0.467,FALSE,1,0,0,1,2
ROP,0.076,1.024,FALSE,0,1,1,1,3
ROST,0.294,-0.108,FALSE,0,0,1,1,2
SPGI,0.023,0.243,FALSE,0,0,1,0,1
SLB,0.256,0.53,FALSE,0,1,0,0,1
SEE,0.057,0.161,FALSE,1,0,0,1,2
SHW,0.023,0.096,FALSE,1,0,0,1,2
SPG,0.118,-0.06,FALSE,0,0,1,1,2
SWKS,0.025,0.004,FALSE,1,0,1,1,3
SJM,0.122,0.031,FALSE,1,1,1,1,4
SNA,0.071,0.1,FALSE,0,0,1,1,2
SO,0.026,0.506,FALSE,1,1,0,0,2
SBUX,0.183,-0.06,FALSE,1,1,1,1,4
STT,0.136,-0.003,FALSE,1,1,1,1,4
STLD,0.2,0.652,FALSE,0,0,1,1,2
SYK,0.167,0.205,FALSE,0,1,0,1,2
TPR,0.231,0.119,FALSE,1,0,1,1,3
TRGP,0.072,1.783,FALSE,0,1,1,0,2
TDY,0.051,0.654,FALSE,1,1,0,1,3
TFX,0.134,-0.031,FALSE,0,1,1,1,3
TER,0.063,-0.199,FALSE,0,0,1,1,2
TXN,0.042,0.174,FALSE,0,0,1,1,2
TXT,0.093,0.131,FALSE,0,1,0,1,2
TJX,0.202,0.062,FALSE,0,0,1,1,2
TSCO,0.081,0.083,FALSE,0,0,1,1,2
TT,0.127,0.172,FALSE,0,0,0,1,1
TDG,0.099,0.188,FALSE,1,0,1,1,3
TRV,0.123,-0.006,FALSE,0,1,1,1,3
USB,0.049,-0.13,FALSE,0,1,1,1,3
ULTA,0.136,0.279,FALSE,0,0,0,1,1
UNP,0.006,0.145,FALSE,0,0,1,1,2
URI,0.222,0.453,FALSE,0,0,0,1,1
UHS,0.387,-0.076,FALSE,1,1,1,1,4
VLO,0.055,6.341,FALSE,0,1,0,0,1
VRSN,0.08,0.099,FALSE,1,1,1,1,4
VZ,0.072,-0.073,FALSE,0,0,1,1,2
V,0.071,0.226,FALSE,0,0,1,1,2
VMC,0.076,0.131,FALSE,1,1,1,0,3
WAB,0.114,0.194,FALSE,0,1,0,1,2
WRK,0.015,0.095,FALSE,1,1,1,1,4
WTW,0.153,-0.325,FALSE,0,0,1,1,2
XEL,0.032,0.079,FALSE,1,1,1,1,4
XYL,0.128,-0.141,FALSE,0,1,1,1,3
YUM,0.1,-0.066,FALSE,0,1,1,1,3
