Symbol,Processed
MMM,processed
AOS,processed
ABT,processed
ABBV,processed
ACN,slopefailed
ATVI,processed
ADM,unaligned reports
ADBE,processed
ADP,slopefailed
AAP,slopefailed
AES,negative net income
AFL,processed
A,processed
APD,processed
AKAM,slopefailed
ALK,processed
ALB,slopefailed
ARE,slopefailed
ALGN,processed
ALLE,processed
LNT,slopefailed
ALL,negative net income
GOOGL,slopefailed
GOOG,slopefailed
MO,processed
AMZN,negative net income
AMCR,processed
AMD,slopefailed
AEE,processed
AAL,negative net income
AEP,processed
AXP,processed
AIG,processed
AMT,unaligned reports
AWK,processed
AMP,processed
ABC,processed
AME,processed
AMGN,processed
APH,processed
ADI,processed
ANSS,slopefailed
AON,processed
APA,processed
AAPL,slopefailed
AMAT,processed
APTV,negative net income
ACGL,processed
ANET,slopefailed
AJG,processed
AIZ,slopefailed
T,processed
ATO,processed
ADSK,slopefailed
AZO,unaligned reports
AVB,slopefailed
AVY,processed
BKR,negative net income
BALL,negative net income
BAC,processed
BBWI,processed
BAX,negative net income
BDX,processed
WRB,processed
BRK-B,negative net income
BBY,processed
BIO,negative net income
TECH,processed
BIIB,processed
BLK,processed
BK,processed
BA,negative net income
BKNG,processed
BWA,processed
BXP,slopefailed
BSX,processed
BMY,slopefailed
AVGO,processed
BR,slopefailed
BRO,slopefailed
BF-B,slopefailed
CHRW,slopefailed
CDNS,slopefailed
CZR,negative net income
CPT,slopefailed
CPB,unaligned reports
COF,slopefailed
CAH,negative net income
KMX,slopefailed
CCL,negative net income
CTLT,unaligned reports
CAT,processed
CBOE,negative net income
CBRE,processed
CDW,processed
CE,processed
CNC,negative net income
CNP,slopefailed
CDAY,negative net income
CF,slopefailed
CRL,processed
SCHW,processed
CHTR,slopefailed
CVX,processed
CMG,slopefailed
CB,processed
CHD,processed
CI,unaligned reports
CINF,negative net income
CTAS,processed
CSCO,processed
C,unaligned reports
CFG,processed
CLX,processed
CME,unaligned reports
CMS,processed
KO,processed
CTSH,slopefailed
CL,processed
CMCSA,negative net income
CMA,slopefailed
CAG,negative net income
