fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-07-31,USD,5308864000,2202455000,1384236000,1236990000,58791000,628455000,3106459000,2485764000,842362000,456634000,54680000,401954000,None,None,None,130973000,47708000,683265000,440889000,187170000,20061000,23000,21794000,242363000,13000,1996000,None,1996000,119473000,83027000,160320000,4625599000,None,3956408000,48000,238040974
2021-07-31,USD,4562143000,1702611000,1048260000,1048260000,44968000,500640000,2860095000,2296624000,730772000,401590000,45873000,355717000,0,None,None,108743000,41831000,1032942000,421031000,163237000,20973000,530000,22472000,513950000,36000,400000000,None,397636000,400000000,90267000,None,3529201000,None,2868203000,24000,237014273
2020-07-31,USD,3455261000,963759000,477718000,477718000,20080000,376947000,2492911000,1941719000,624541000,391394000,47772000,343622000,None,None,None,89014000,39934000,965745000,356044000,132919000,8233000,751000,25572000,609701000,566000,400000000,None,396900000,400000000,79555000,430000,2489516000,None,1937853000,24000,235315337
2019-07-31,USD,2547617000,687167000,186319000,186319000,20941000,386791000,1860039000,1427726000,537622000,388477000,55156000,333321000,None,None,None,93116000,43836000,769236000,282004000,113947000,6466000,1138000,1138000,438549000,None,400000000,1138000,None,400000000,83550000,3342000,1778381000,None,1338328000,23000,229790268
2018-07-31,USD,2307698000,709116000,274520000,274520000,16734000,366913000,1598112000,1163425000,490120000,402127000,64892000,337235000,None,None,None,50949000,32560000,726599000,277256000,133717000,4488000,1151000,1151000,449343000,None,400000000,1151000,None,400000000,75457000,3586000,1581099000,None,1162146000,23000,233898841
