fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-10-31,USD,4688000000,847000000,2558000000,2130000000,1380000000,1131000000,560000000,None,1243000000,None,-226000000,19000000,1283000000,None,59000000,112000000,19000000,-40000000,None,None,None,112000000,None,None,1131000000,1131000000,None
2020-07-31,USD,4395000000,3287000000,2440000000,1955000000,1195000000,841000000,572000000,None,1040000000,None,271000000,-7000000,1108000000,None,61000000,199000000,None,-61000000,None,None,None,199000000,-7000000,None,841000000,841000000,None
2020-04-30,USD,3957000000,817000000,2208000000,1749000000,1030000000,755000000,550000000,None,878000000,None,267000000,7000000,932000000,None,61000000,123000000,7000000,-54000000,None,None,None,123000000,None,None,755000000,755000000,None
2020-01-31,USD,4162000000,816000000,2304000000,1858000000,1064000000,892000000,552000000,None,1005000000,None,259000000,22000000,1042000000,None,59000000,113000000,22000000,-37000000,None,None,None,113000000,-37000000,None,892000000,892000000,None
2019-10-31,USD,3754000000,770000000,2120000000,1634000000,991000000,698000000,515000000,None,840000000,None,252000000,35000000,864000000,None,59000000,142000000,35000000,-24000000,None,None,None,142000000,-24000000,None,698000000,698000000,None
2019-07-31,USD,3562000000,755000000,2005000000,1557000000,840000000,571000000,515000000,None,782000000,None,227000000,38000000,802000000,None,58000000,211000000,38000000,-20000000,None,None,None,211000000,18000000,None,571000000,571000000,None
2019-04-30,USD,3539000000,754000000,2009000000,1530000000,913000000,666000000,508000000,None,759000000,None,246000000,43000000,776000000,None,60000000,93000000,43000000,-17000000,None,None,None,93000000,-17000000,None,666000000,666000000,None
2019-01-31,USD,3753000000,757000000,2088000000,1665000000,1060000000,771000000,516000000,None,888000000,None,241000000,40000000,908000000,None,60000000,141000000,None,None,24000000,None,None,117000000,-20000000,None,771000000,771000000,None
2018-10-31,USD,4014000000,764000000,2234000000,1780000000,1058000000,876000000,518000000,0,998000000,0,246000000,42000000,1016000000,0,60000000,None,None,None,0,0,0,122000000,26000000,0,876000000,876000000,None
2018-07-31,USD,4468000000,770000000,2441000000,2027000000,1234000000,1173000000,504000000,0,1239000000,0,261000000,41000000,1257000000,0,59000000,None,None,None,0,0,0,66000000,-18000000,0,1173000000,1173000000,None
2018-04-30,USD,4579000000,763000000,2523000000,2056000000,1354000000,1129000000,509000000,0,1295000000,0,248000000,24000000,1327000000,0,56000000,None,None,None,0,0,0,166000000,-32000000,0,1129000000,1129000000,None
2018-01-31,USD,4205000000,725000000,2265000000,1940000000,355000000,135000000,488000000,0,1162000000,0,221000000,25000000,1196000000,0,59000000,None,None,None,0,0,0,1027000000,-34000000,0,135000000,135000000,None
2017-10-31,USD,4130000000,689000000,2263000000,1867000000,1131000000,982000000,466000000,0,1074000000,0,292000000,33000000,1098000000,0,57000000,None,None,None,0,0,0,92000000,-137000000,0,982000000,982000000,None
2017-07-31,USD,3744000000,677000000,2044000000,1700000000,1139000000,925000000,454000000,0,978000000,0,210000000,14000000,1023000000,0,59000000,None,None,None,0,0,0,53000000,0,0,925000000,925000000,None
2017-04-30,USD,3546000000,660000000,1946000000,1600000000,952000000,824000000,437000000,0,908000000,0,223000000,12000000,940000000,0,44000000,None,None,None,0,0,0,84000000,0,0,824000000,824000000,None
2017-01-31,USD,3278000000,638000000,1833000000,1445000000,809000000,703000000,417000000,0,771000000,0,221000000,2000000,807000000,0,38000000,None,None,None,0,0,0,68000000,0,0,703000000,703000000,None
2016-10-31,USD,3297000000,622000000,1898000000,1399000000,778000000,610000000,394000000,0,740000000,0,228000000,1000000,777000000,0,38000000,None,None,None,0,0,0,130000000,-137000000,0,610000000,610000000,None
2016-07-31,USD,2821000000,596000000,1629000000,1192000000,602000000,505000000,386000000,0,564000000,0,210000000,6000000,596000000,0,38000000,None,None,None,0,0,0,59000000,0,0,505000000,505000000,None
2016-04-30,USD,2450000000,579000000,1446000000,1004000000,432000000,320000000,386000000,0,395000000,0,193000000,7000000,425000000,0,37000000,None,None,None,0,0,0,75000000,0,0,320000000,320000000,None
2016-01-31,USD,2257000000,562000000,1341000000,916000000,356000000,286000000,374000000,0,314000000,0,188000000,2000000,354000000,0,42000000,None,None,None,0,0,0,28000000,0,0,286000000,286000000,None
2015-10-31,USD,2368000000,536000000,1319000000,959000000,429000000,336000000,363000000,0,397000000,0,159000000,6000000,409000000,0,32000000,None,None,None,0,14000000,0,61000000,-105000000,0,336000000,336000000,None
