fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-12-31,USD,77867000000,53991000000,34255000000,43612000000,37821000000,20899000000,13556000000,None,25078000000,None,6180000000,None,23876000000,None,504000000,4179000000,None,-504000000,None,None,None,4179000000,1706000000,None,20899000000,20899000000,None
2019-12-31,USD,71965000000,20105000000,29825000000,42140000000,24058000000,21048000000,13362000000,None,24058000000,None,6150000000,2023000000,22035000000,200000000,489000000,3010000000,483000000,-6000000,None,393000000,None,3010000000,1636000000,None,21048000000,21048000000,None
2018-12-31,USD,70848000000,20421000000,27111000000,43737000000,23317000000,21053000000,13543000000,None,23317000000,None,6750000000,1000000,23316000000,200000000,468000000,2264000000,438000000,-30000000,300000000,-72000000,None,2264000000,103000000,None,21053000000,21053000000,None
2017-12-31,USD,62761000000,21133000000,23692000000,39069000000,20352000000,9601000000,13098000000,None,20352000000,None,7474000000,2416000000,17936000000,177000000,646000000,10751000000,441000000,-205000000,-5400000000,384000000,None,10751000000,2237000000,None,9601000000,9601000000,None
2016-12-31,USD,59387000000,23317000000,23196000000,36191000000,12936000000,10316000000,12740000000,None,12936000000,None,8397000000,62000000,12874000000,294000000,733000000,2620000000,222000000,-511000000,None,1886000000,None,2620000000,-1313000000,None,10316000000,10316000000,None
