fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-12-31,USD,153091000000,9026000000,None,8145000000,72053000000,81038000000,None,None,25556000000,56233000000,13402000000,26971000000,5917000000,5865000000,24754000000,None,2504000000,-751000000,56584000000,47249000000,7344000000,45041000000,18030000000,6782000000,33897000000,8427000000,5581000000,None,None,None,None,None,None,None,5917000000,None,105842000000,None,None,3614000000,47299000000,None,None,None,None,None,None,None,None
2020-09-30,USD,145261000000,9881000000,None,2119000000,69326000000,74554000000,2995000000,13252000000,23335000000,52159000000,12536000000,26955000000,6036000000,3356000000,22112000000,504000000,504000000,-940000000,59205000000,36785000000,2720000000,39099000000,14897000000,7140000000,36059000000,9273000000,8356000000,None,None,23335000000,None,52159000000,None,None,9715000000,None,108476000000,None,36059000000,8160000000,47214000000,None,None,None,None,145261000000,18253000000,None,4098000000
2020-06-30,USD,152539000000,10303000000,None,2165000000,69200000000,82010000000,2723000000,12349000000,25516000000,57646000000,11955000000,26943000000,6082000000,8736000000,22481000000,2254000000,2254000000,-1152000000,58036000000,44390000000,2884000000,46093000000,17079000000,7441000000,36093000000,8969000000,7878000000,None,None,25516000000,None,57646000000,None,None,9983000000,None,108149000000,None,36093000000,7903000000,46719000000,None,None,None,None,152539000000,25815000000,None,4253000000
2020-03-31,USD,147710000000,10429000000,None,2997000000,70003000000,76354000000,2027000000,13435000000,25251000000,52644000000,11006000000,26276000000,5911000000,11380000000,23895000000,3464000000,3464000000,-1541000000,56770000000,41501000000,2943000000,41002000000,9423000000,8455000000,36455000000,9246000000,6996000000,None,None,25251000000,None,52644000000,None,None,9791000000,None,106209000000,None,36455000000,7626000000,46108000000,None,None,None,None,147710000000,20803000000,None,4234000000
2019-12-31,USD,136524000000,10827000000,None,46977000000,57497000000,77504000000,2044000000,10636000000,25261000000,53523000000,11027000000,26276000000,4925000000,3276000000,22310000000,3693000000,3693000000,-1280000000,55386000000,31239000000,7243000000,79027000000,8929000000,13212000000,25308000000,8744000000,7981000000,None,None,25261000000,None,53523000000,None,None,2149000000,None,55386000000,None,25308000000,7835000000,35187000000,None,155000000,None,None,136524000000,12205000000,None,4290000000
2019-09-30,USD,133768000000,11019000000,None,2414000000,57947000000,74242000000,1696000000,11835000000,25290000000,49674000000,10356000000,24727000000,5603000000,3935000000,25064000000,5200000000,5200000000,-722000000,53563000000,29957000000,3428000000,40075000000,8090000000,6880000000,23707000000,8638000000,8029000000,None,None,25290000000,None,49674000000,None,None,11074000000,None,103811000000,None,23707000000,7480000000,32883000000,None,166000000,None,None,133768000000,12025000000,None,4350000000
2019-06-30,USD,130759000000,11249000000,None,2366000000,54007000000,74947000000,1783000000,8743000000,25140000000,50429000000,10592000000,24583000000,5421000000,2867000000,19705000000,3726000000,3726000000,-622000000,51377000000,29239000000,3577000000,40920000000,9077000000,6233000000,25089000000,8696000000,7236000000,None,None,25140000000,None,50429000000,None,None,10734000000,None,101520000000,None,25089000000,7430000000,34302000000,None,247000000,None,None,130759000000,11944000000,None,4430000000
2019-03-31,USD,129458000000,11457000000,None,2305000000,53747000000,73661000000,1521000000,10118000000,25346000000,49128000000,10711000000,24521000000,4965000000,3154000000,18911000000,2750000000,2750000000,-813000000,50040000000,29060000000,3465000000,39733000000,8879000000,6957000000,25737000000,7765000000,6043000000,None,None,25346000000,None,49128000000,None,None,10915000000,None,100398000000,None,25737000000,7578000000,34836000000,None,275000000,None,None,129458000000,12033000000,None,4477000000
2018-12-31,USD,127963000000,11836000000,None,45553000000,50932000000,74563000000,1665000000,7919000000,25365000000,50172000000,11676000000,24513000000,4421000000,6407000000,16626000000,1261000000,761000000,-974000000,48976000000,28787000000,9430000000,77031000000,8631000000,11143000000,25098000000,7253000000,7446000000,None,None,25365000000,419000000,50172000000,None,None,None,None,48976000000,None,25098000000,7543000000,34306000000,None,419000000,None,None,127963000000,15038000000,None,4516000000
2018-09-30,USD,128242000000,12007000000,None,3546000000,54024000000,71483000000,1485000000,9835000000,25492000000,47094000000,12362000000,24506000000,3955000000,3407000000,19574000000,3051000000,None,-1103000000,47071000000,29590000000,3562000000,37705000000,9779000000,5457000000,24823000000,7401000000,6688000000,0,0,25492000000,515000000,47094000000,0,None,11506000000,None,98652000000,None,24823000000,8142000000,34450000000,None,515000000,None,None,128242000000,13186000000,None,4564000000
2018-06-30,USD,125972000000,12098000000,None,3398000000,52878000000,70047000000,1666000000,7317000000,25470000000,45666000000,13722000000,24351000000,3690000000,2614000000,17571000000,3510000000,28142000000,-1089000000,45914000000,27603000000,3071000000,36645000000,9611000000,4636000000,24632000000,7344000000,6744000000,0,0,25470000000,654000000,45666000000,0,None,12935000000,None,98369000000,None,24632000000,9009000000,35307000000,None,654000000,None,None,125972000000,12225000000,None,4611000000
2018-03-31,USD,128596000000,12355000000,None,3408000000,55151000000,70165000000,1564000000,9586000000,26430000000,44418000000,11335000000,24346000000,53231000000,3554000000,19961000000,3842000000,28612000000,-683000000,43735000000,31630000000,3435000000,36744000000,12643000000,4879000000,24770000000,7146000000,6533000000,0,0,26430000000,801000000,44418000000,0,None,13095000000,None,96966000000,None,24770000000,8856000000,35190000000,None,801000000,None,None,128596000000,16197000000,None,4660000000
2017-12-31,USD,123249000000,37134000000,None,44234000000,53364000000,69019000000,3046000000,9191000000,26074000000,42083000000,7860000000,24389000000,52640000000,7145000000,17421000000,1776000000,1739000000,862000000,41109000000,29500000000,12291000000,69885000000,10569000000,13209000000,25037000000,6983000000,6454000000,0,0,26074000000,866000000,42083000000,0,None,None,None,41109000000,None,25037000000,7860000000,35943000000,None,866000000,None,None,123249000000,17714000000,None,4687000000
2017-09-30,USD,127088000000,13058000000,None,2767000000,55282000000,70936000000,2943000000,9296000000,26547000000,42779000000,4152000000,24389000000,54462000000,9075000000,20689000000,4142000000,4121000000,1610000000,39472000000,33154000000,9903000000,34359000000,8429000000,5954000000,27498000000,6929000000,7251000000,0,0,26547000000,870000000,42779000000,0,None,7112000000,None,93934000000,None,27498000000,4152000000,34593000000,None,870000000,None,None,127088000000,17504000000,None,4680000000
2017-06-30,USD,122107000000,8867000000,None,2967000000,52608000000,68625000000,2502000000,7814000000,25781000000,41670000000,3469000000,14102000000,43360000000,11687000000,18782000000,4130000000,31985000000,1174000000,38130000000,40617000000,10385000000,46530000000,14242000000,5397000000,27855000000,6324000000,6838000000,0,0,25781000000,874000000,41670000000,0,None,10006000000,None,81490000000,None,27855000000,3469000000,33826000000,None,874000000,None,None,122107000000,25929000000,None,4699000000
2017-03-31,USD,115648000000,9157000000,None,8041000000,47926000000,66844000000,2285000000,10094000000,25890000000,40091000000,3658000000,14099000000,42679000000,4934000000,21305000000,5073000000,5073000000,863000000,36911000000,36058000000,11980000000,44466000000,12361000000,4921000000,20678000000,5801000000,6138000000,0,0,25890000000,878000000,40091000000,0,None,7443000000,None,79590000000,None,20678000000,3658000000,26621000000,None,878000000,None,None,115648000000,17295000000,None,4709000000
2016-12-31,USD,113327000000,9494000000,None,8166000000,46219000000,66226000000,1730000000,8918000000,25373000000,40747000000,3538000000,14099000000,41648000000,5560000000,20302000000,4634000000,4609000000,106000000,36171000000,35508000000,10896000000,43515000000,11539000000,4690000000,20649000000,5553000000,6750000000,0,0,25373000000,882000000,40747000000,0,None,7159000000,None,77819000000,None,20649000000,3538000000,25917000000,None,882000000,None,None,113327000000,17099000000,None,4730000000
2016-09-30,USD,112217000000,9524000000,None,7712000000,48216000000,63115000000,1211000000,9409000000,25070000000,37645000000,2869000000,13868000000,41294000000,4752000000,20093000000,3573000000,3573000000,400000000,34707000000,36216000000,10211000000,40609000000,13017000000,4952000000,24043000000,5783000000,7111000000,0,0,25070000000,886000000,37645000000,0,None,7691000000,None,76001000000,None,24043000000,2869000000,28123000000,None,886000000,None,None,112217000000,17769000000,None,4739000000
2016-06-30,USD,109831000000,10821000000,None,3273000000,47574000000,61367000000,1293000000,7186000000,24317000000,37130000000,3517000000,16992000000,44839000000,3885000000,18711000000,4560000000,4560000000,-80000000,33804000000,31188000000,8961000000,34444000000,13804000000,4426000000,24053000000,5800000000,6965000000,0,0,24317000000,890000000,37130000000,0,None,8065000000,None,78643000000,None,24053000000,3517000000,28863000000,None,890000000,None,None,109831000000,17689000000,None,4728000000
2016-03-31,USD,105467000000,11140000000,None,2339000000,43399000000,61174000000,1247000000,8115000000,24088000000,36526000000,2851000000,16942000000,45426000000,3061000000,17526000000,3594000000,None,560000000,32644000000,27397000000,9474000000,33986000000,12030000000,4216000000,21775000000,5751000000,5817000000,0,0,24088000000,894000000,36526000000,0,None,7870000000,None,78070000000,None,21775000000,2851000000,25873000000,None,894000000,None,None,105467000000,15091000000,None,4716000000
2015-12-31,USD,103065000000,3933000000,None,3053000000,41083000000,61085000000,2539000000,6872000000,23411000000,37614000000,2841000000,11332000000,30851000000,15308000000,15667000000,2634000000,2593000000,60000000,31858000000,40356000000,7851000000,46717000000,10005000000,6823000000,20036000000,5167000000,6161000000,0,0,23411000000,897000000,37614000000,0,None,7735000000,None,62709000000,None,20036000000,2841000000,25416000000,None,897000000,None,None,103065000000,25313000000,None,4725000000
